t,Score,"Do you have a background in academia, e.g. STUDENT, holding a PhD, working as a professor, researcher, or graduate student?",What is your role in academia?,What is your age,What is your gender?,Education (Highest level of education you have achieved/ are pursuing),What is your Ethnicity,What is your academic field?,Have you used ChatGPT before?,What has been your primary use for ChatGPT?,I have found ChatGPT to be useful in my personal or professional life.,ChatGPT should be used in school,ChatGPT is a reliable resource for information,Students should be allowed to use ChatGPT for school-related purposes,There should be restrictions or guidelines for the use of ChatGPT in schools and universities,Do you believe that the usage of ChatGPT could put potential harm in the learning ability of students in the future?,Would you recommend/ Have you recommended ChatGPT to others?
2/28/2023 13:53:53,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,Yes,"Coding/Mathematics Assistance, To save time in conducting research, Non academic purposes",4,2,1,3,4,Yes,Yes
2/28/2023 14:10:40,,Yes,Student (Undergraduate),17 - 22,Male,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,Yes,Have not used it,2,2,3,3,4,Yes,No
2/28/2023 21:25:40,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,No,Have not used it,1,2,2,4,5,Yes,No
3/3/2023 10:05:19,,Yes,Student (Undergraduate),< 17,Female,High school diploma or equivalent (e.g. GED),"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,No,Have not used it,3,3,3,3,3,No,Yes
3/4/2023 16:46:51,,Yes,Student (Undergraduate),17 - 22,Male,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,Yes,"Homework Aid, To save time in conducting research",4,4,1,2,5,No,Yes
3/4/2023 16:47:37,,Yes,Student (Undergraduate),17 - 22,Male,Undergraduate,"West Asian or Middle Eastern (e.g. Iranian, Iraqi, Lebanese, Turkish)",Computer science and information technology,Yes,"Homework Aid, Coding/Mathematics Assistance, Non academic purposes",4,4,3,5,2,No,Yes
3/4/2023 16:55:31,,No,,,,,,,,,,,,,,,
3/4/2023 16:57:02,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"West Asian or Middle Eastern (e.g. Iranian, Iraqi, Lebanese, Turkish)","Natural sciences (e.g. biology, chemistry, physics)",Yes,"Homework Aid, Non academic purposes",4,3,2,4,3,Maybe,Yes
3/4/2023 16:58:31,,Yes,Student (Undergraduate),17 - 22,Male,High school diploma or equivalent (e.g. GED),"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Business and management (e.g. accounting, finance, marketing)",Yes,"Homework Aid, To save time in conducting research, Non academic purposes, Help with Tests/Assignments, Don’t worry",5,4,4,3,3,Maybe,Yes
3/4/2023 17:15:16,,Yes,Student (Undergraduate),17 - 22,Male,High school diploma or equivalent (e.g. GED),"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Engineering (e.g. mechanical engineering, electrical engineering, civil engineering)",Yes,"Homework Aid, To save time in conducting research, Non academic purposes",4,3,3,4,3,No,Yes
3/4/2023 17:15:31,,Yes,Student (Post Graduate),23 - 30,Male,PGD,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Business and management (e.g. accounting, finance, marketing)",Yes,Non academic purposes,3,5,3,2,5,Yes,No
3/4/2023 17:24:38,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,Yes,"Coding/Mathematics Assistance, Non academic purposes",4,4,4,4,5,Maybe,Yes
3/4/2023 17:32:33,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,Yes,Coding/Mathematics Assistance,5,3,4,2,4,Yes,Yes
3/4/2023 17:38:08,,Yes,Student (Undergraduate),17 - 22,Male,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Mathematics (e.g. pure mathematics, applied mathematics, statistics)",Yes,"Homework Aid, To save time in conducting research",4,4,4,4,3,Yes,Yes
3/4/2023 17:46:13,,Yes,Student (Undergraduate),17 - 22,Male,High school diploma or equivalent (e.g. GED),"West Asian or Middle Eastern (e.g. Iranian, Iraqi, Lebanese, Turkish)","Business and management (e.g. accounting, finance, marketing)",Yes,"Coding/Mathematics Assistance, Practicing a foreign language",5,5,3,5,3,Unsure,Yes
3/4/2023 17:54:06,,Yes,Student (Undergraduate),17 - 22,Male,High school diploma or equivalent (e.g. GED),"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Business and management (e.g. accounting, finance, marketing)",Yes,"Homework Aid, To save time in conducting research",4,3,3,4,2,Yes,Not sure
3/4/2023 18:14:12,,Yes,Student (Undergraduate),17 - 22,Male,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Business and management (e.g. accounting, finance, marketing)",Yes,"Homework Aid, To save time in conducting research, Help with Tests/Assignments",4,3,4,4,4,Yes,Yes
3/4/2023 18:29:17,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,Yes,"Homework Aid, Coding/Mathematics Assistance, Non academic purposes, Help with Tests/Assignments",5,2,4,1,5,Yes,Yes
3/4/2023 18:45:09,,Yes,Student (Undergraduate),17 - 22,Male,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Business and management (e.g. accounting, finance, marketing)",Yes,Help with Tests/Assignments,3,3,3,3,3,Yes,Yes
3/4/2023 19:07:32,,Yes,Student (Undergraduate),17 - 22,Male,Master's,"Southeast Asian (e.g. Vietnamese, Filipino, Thai, Cambodian)",Computer science and information technology,No,Have not used it,3,4,3,3,5,No,Not sure
3/4/2023 19:32:39,,Yes,Student (Undergraduate),17 - 22,Male,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Business and management (e.g. accounting, finance, marketing)",Yes,"Coding/Mathematics Assistance, To save time in conducting research, Practicing a foreign language, Non academic purposes, Help with Tests/Assignments",5,5,3,5,5,Maybe,Yes
3/4/2023 20:08:00,,Yes,Student (Undergraduate),17 - 22,Male,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,Yes,"Homework Aid, Coding/Mathematics Assistance, To save time in conducting research, Non academic purposes, Help with Tests/Assignments",5,4,4,4,4,Maybe,Yes
3/4/2023 20:51:14,,Yes,Student (Undergraduate),17 - 22,Male,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,Yes,"Homework Aid, Coding/Mathematics Assistance",5,4,4,4,4,Yes,Yes
3/4/2023 20:56:47,,No,,,,,,,,,,,,,,,
3/4/2023 21:57:08,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,White or Caucasian,"Mathematics (e.g. pure mathematics, applied mathematics, statistics)",Yes,"Homework Aid, Coding/Mathematics Assistance, Help with Tests/Assignments",5,3,4,4,4,Unsure,Yes
3/5/2023 0:29:33,,Yes,Student (Undergraduate),17 - 22,Male,High school diploma or equivalent (e.g. GED),"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Natural sciences (e.g. biology, chemistry, physics)",Yes,Non academic purposes,2,2,2,3,3,Yes,Yes
3/5/2023 8:52:57,,Yes,Student (Undergraduate),23 - 30,Male,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)",Computer science and information technology,Yes,To save time in conducting research,3,4,4,3,3,Yes,Yes
3/5/2023 13:10:34,,Yes,Student (Undergraduate),17 - 22,Female,High school diploma or equivalent (e.g. GED),Black or African American,Law and legal studies,Yes,Practicing a foreign language,5,4,4,5,3,No,Yes
3/5/2023 13:19:15,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Social sciences (e.g. sociology, anthropology, psychology, economics)",Yes,Homework Aid,2,3,3,3,3,Maybe,Yes
3/5/2023 13:20:32,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Natural sciences (e.g. biology, chemistry, physics)",Yes,"Coding/Mathematics Assistance, Non academic purposes, Help with Tests/Assignments",3,2,4,3,4,Maybe,No
3/5/2023 13:38:45,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Engineering (e.g. mechanical engineering, electrical engineering, civil engineering)",Yes,"Coding/Mathematics Assistance, Help with Tests/Assignments",4,4,4,5,1,No,Yes
3/5/2023 14:10:29,,Yes,Student (Undergraduate),17 - 22,Non-binary,High school diploma or equivalent (e.g. GED),"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Humanities (e.g. literature, history, philosophy)",No,Have not used it,5,3,2,3,4,Yes,No
3/5/2023 14:18:33,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"Southeast Asian (e.g. Vietnamese, Filipino, Thai, Cambodian)","Social sciences (e.g. sociology, anthropology, psychology, economics)",No,Have not used it,3,4,3,4,3,Unsure,No
3/5/2023 14:39:05,,Yes,Student (Undergraduate),17 - 22,Female,Undergraduate,"South Asian (e.g. Indian, Pakistani, Bangladeshi, Sri Lankan)","Social sciences (e.g. sociology, anthropology, psychology, economics)",Yes,Have not used it,1,1,2,3,4,Maybe,No
3/6/2023 15:50:45,,Yes,Student (Undergraduate),23 - 30,Female,Undergraduate,"West Asian or Middle Eastern (e.g. Iranian, Iraqi, Lebanese, Turkish)",Computer science and information technology,Yes,"Homework Aid, Coding/Mathematics Assistance, To save time in conducting research",5,4,3,5,1,No,Yes
3/6/2023 16:09:15,,Yes,Student (Undergraduate),23 - 30,Male,Undergraduate,White or Caucasian,Computer science and information technology,Yes,"Homework Aid, Coding/Mathematics Assistance, Non academic purposes",5,5,3,5,5,Yes,Yes
3/6/2023 16:15:37,,Yes,Student (Post Graduate),23 - 30,Female,Master's,Multiracial or Biracial,"Natural sciences (e.g. biology, chemistry, physics)",Yes,Coding/Mathematics Assistance,3,2,1,2,5,Maybe,Not sure
3/6/2023 17:00:30,,Yes,Student (Undergraduate),23 - 30,Female,Master's,White or Caucasian,"Natural sciences (e.g. biology, chemistry, physics)",No,Have not used it,3,2,2,2,5,Yes,Not sure
